country,source,matched_model,listing_count,unique_url_count,search_keywords
Libya,OpenSooq,Dacia Logan,1,1,Dacia Logan
Libya,OpenSooq,Fiat Doblo,1,1,Fiat Doblo
Libya,OpenSooq,GAC GS3,1,1,GAC GS3
Libya,OpenSooq,Hyundai Accent,2,2,Changan CS35; Hyundai Accent
Libya,OpenSooq,Jetour X70,2,2,Jetour Dashing; Jetour X70
Libya,OpenSooq,Kaiyi X3 Pro,1,1,Livan X3 Pro
Libya,OpenSooq,Kia KX1,1,1,Kia KX1
Morocco,Avito,Dacia Duster,9,9,Changan X5 Plus; Chery Tiggo 2 Pro; Dacia Duster; Geely Coolray; Jetour X70; Jetta VS5; Kia KX1; Livan X3 Pro; MG5
Morocco,Avito,Hyundai Accent,15,15,Changan CS35; Chery Tiggo 4 Pro; Dacia Logan; Fiat Doblo; GAC GS3; Geely GX3 Pro; Geely Livan X3 Pro; Hyundai Accent; Jetour Dashing; Jetta VA3; Kaiyi X3 Pro; MG 5; MG ZS; Suzuki Dzire; Volkswagen Tharu
Morocco,Moteur.ma,Dacia Duster,1,1,MG5
Morocco,Moteur.ma,Geely Coolray,1,1,MG5
