scrape_date,scrape_week,country,source,source_type,search_keyword,matched_model,mention_title,mention_text_raw,author_or_channel,published_time,discussion_url,related_keywords,trader_signal_keywords
2026-06-09,2026-W24,Morocco,Wandaloo MG forum,public_html,Hyundai Accent,MG ZS,Pas d'hybride ni hybride rechargeable ? hey el arabia - le 17 octobre 2025 Donc au maroc la MG hs n'est pas pas proposée en hybride ni en PH,"Pas d'hybride ni hybride rechargeable ? hey el arabia - le 17 octobre 2025 Donc au maroc la MG hs n'est pas pas proposée en hybride ni en PHEV c'est très dommage car elle aurait été très intéressante et ces deux modèles sont proposés en Europe 8 6 répondre Mieux que le duster hey el arabia - le 19 juillet 2025 C'est un très bon prix je trouve qu'elle est mieux que le duster et que la yaris cross elle a un très grand succès ailleurs son seul problème c'est quand il y a des montées raides et le moteur électrique est épuisé elle peut râler un peu mais c'est pas grave vu le confort la tenue de route et la finition elle est hyper intéressante vu son prix et n'oublions pas la garantie de 200 000 km 23 21 répondre 1 réponse(s) Vos retours ? Wisal Moha - le 30 juin 2025 Bonjour à tous, Avis propriétaires MG3 Hybrid+ Êtes-vous satisfaits ? Avez-vous rencontré des problèmes de fiabilité ou électroniques ? Que pensez-vous du SAV MG ? Sérieux, délai des pièces, suivi ? Est-ce que les pièces de rechange sont faciles à obtenir ou vous avez eu des attentes ? J’hésite aussi avec la Toyota Yaris Hybrid, mais je préfère l’espace et le design de la MG 22 14 répondre 1 réponse(s) MG HS PHEV Bouch Driss - le 10 juin 2025 J'ai visité le concessionnaire MG sur la route de Casablanca à Marrakech. Le commercial a confirmé que la MG HS PHEV (hybride rechargeable) n'est actuellement pas disponible. 11 3 répondre Mg3 ou yaris Nana - le 22 mars 2025 3endi choix bine yaris ô Mg 3, fine Li fiha performance et économie. 14 19 répondre 2 réponse(s) Mg 3 hybride+ Akh mus - le 19 mars 2025 Top auto hybride 195cv 32 12 répondre ZS hybrid+ hey el arabia - le 24 novembre 2024 J'aimerais savoir la date de commercialisation de la MG ZS hybride+ qui paraît très intéressante et à un prix moins cher que le duster nouveau de dacia ! 35 7 répondre Mg3 hybride Anas EL KSABI - le 30 septembre 2024 Bonjour, Quelqu'un aurait une idée de la date de commercialisation du MG3 hybride plus dans le royaume ? 22 9 répondre Puissance fiscale erronée lire 9cv Sultan R - le 7 juillet 2023 Bonjour, Il ya une erreur sur la puissance fiscale C'est 9cv au lieu de 7cv 33 13 répondre Erreur sur la puissance fiscale Sultan R - le 7 juillet 2023 Bonjour, Il ya une erreur sur la puissance fiscale C'est 9cv au lieu de 7cv 11 3 répondre",,,https://www.wandaloo.com/neuf/mg/hs/#avis,2025;auto;00km;disponible,disponible;concessionnaire
2026-06-09,2026-W24,Morocco,Wandaloo Geely forum,public_html,Hyundai Accent,Geely Coolray,Embarras de choix Said oubejja - le 2 février 2026 Bonjour Mrs... Avec un budget de 350 000 dh pour acquérir une Geely EX5...n est il pas op,"Embarras de choix Said oubejja - le 2 février 2026 Bonjour Mrs... Avec un budget de 350 000 dh pour acquérir une Geely EX5...n est il pas opportun d avoir une Mercedes ou Audi occasion de 3 à 4 ans...car le problème des véhicules chinois en général est les pièces de rechange...il va falloir bcp d années pour les pièces de rechange disponibles ainsi que le réseau des ces pièces à travers le Royaume ! 37 37 répondre Très Satisfait Driss - le 9 janvier 2024 Pour l'avoir achetée et en étant très objectivement satisfait, je vous recommande vivement la Geely Coolray, car dans son segment elle est juste parfaite, à tous les niveaux : moteur puissant et économique de technologie Volvo, transmission automatique avec chaîne de distribution (pas de courroie), une suspension très très confortable, jantes 17"", double cockpit digital, et plein d'autres options premium high-tech, de série dès la version confort. Dorénavant, mes standards de valeurs des véhicules ont changé, car tout dirham payé en plus pour acheter une autre voiture de la même catégorie et avec les mêmes équipements est considéré pour moi comme une dépense superflue voire irraisonnée. Tout cela avec une garantie imbattable de 6 ans ou 200.000 Km. Bravo à l'importateur officiel de Geely au Maroc, pour avoir fait le choix judicieux de représenter cette marque automobile phare de la plus grande puissance économique du monde, c'est un choix intéressant lorsqu'on veut offrir de la qualité qui répond à tous les standards internationaux de sécurité pour pouvoir s'imposer dans plusieurs marchés à l'export, donc récemment le Maroc, il était temps. Pour ma part, la Coolray ce fut LE smart choice, vraiment elle en impose et surtout on a le sentiment de fiabilité et de robustesse dès qu'on est dedans, on est presque dans un cocon, en plus il y a une très bonne insonorisation, et un grand espace d'habitacle, on préférerait vraiment à la limite ne pas en descendre et que la route se prolonge encore un peu plus, aussi le grand écran me permet de projeter des vidéos en ligne pour distraire les enfants durant les trajets, d'ailleurs ils sont ravis et on a largement de la place au coffre pour mettre les bagages de tout le monde sans devoir faire des compromis. En tout cas, le must pour moi c'est d'avoir vécu la plus agréable expérience d'achat d'un véhicule neuf tout droit sorti de la maison en comparaison avec les autres maisons de mes voitures précédentes, car pour avoir souvent sorti des voitures neuves j'ai personnellement eu déjà pas mal de bonnes bonnes expériences avec des maisons de voitures françaises, italiennes, allemandes et coréennes. C'est pour dire que, là, je sais vraiment de quoi je parle : en effet dès ma prise en charge par le très sympathique et compétant conseiller commercial, tout est allé smoothly sous le pilotage bienveillant de la brillante Showroom Manager, car sa maîtrise totale dénote d'un profond respect pour son métier, ce qui installe rapidement une sorte de symbiose win-win avec son client, au point où ce dernier est tellement convaincu de son choix qu'il devient lui même un ambassadeur de la marque Geely, d'où mon présent témoignage. Pour finir, je tiens à saluer l'engagement et la proactivité des équipes de l'administration des ventes et aussi du SAV, avec une très grande attention donnée aux petits détails avec plein de sympathie et de professionnalisme. Un petit conseil, (désolé pour le spoil) lors de la mise en main de votre véhicule, savourez ce délicieux moment où toute l'équipe du showroom se réunit autour de vous et votre Geely dans un cérémonial joyeux et animé, il y a tellement d'énergie positive que vous vous sentez sur un piédestal en faisant sortir votre nouvelle voiture sous les applaudissements de tous les présents. Une master-classe en matière d'expérience client, avec, cerise sur le gâteau, un superbe Coolray flambant neuf ! 69 91 répondre 2 réponse(s) avis GEELY nordine - le 27 octobre 2014 la nullité au prix fort façon CHINA en plus...non merci. 37 19 répondre",,,https://www.wandaloo.com/forum/geely/ex5-phev/#avis,2026;automatique;00km;neuf,china;showroom
2026-06-09,2026-W24,Morocco,Wandaloo Chery forum,public_html,Hyundai Accent,Chery Tiggo 4 Pro,"TIGGO 4 Pro Abel KRIBI - le 9 mars 2025 Je suis très déçu de l'acquisition , en septembre 2024, de la nouvelle CHERY TIGGO4 Pro : consommati","TIGGO 4 Pro Abel KRIBI - le 9 mars 2025 Je suis très déçu de l'acquisition , en septembre 2024, de la nouvelle CHERY TIGGO4 Pro : consommation excessive à 10,8 à 11.2 L/100 quand la brochure fournie prétend une consommation à 7, 1 . Un gouffre financier ! 59 29 répondre 1 réponse(s) Affichage température ambiante Chamsi - le 4 novembre 2023 Bonjour, es ce qq1 aurait une idée sur l’affichage de la température ambiante sur le tableau de bord de la tiggo 7 pro. Merci 26 12 répondre Promotions incroyables Hyacinthe Vlavonou - le 16 septembre 2023 Ils font de très belles promotion actuellement sur les différentes gamme où la 2 pro Toute Option à 168.000 Clé en main La 4 pro Toute option à 227.000dhs Clé en main Cette promotion dure jusqu'à fin du mois de septembre d'après le concessionnaire. 38 25 répondre Puissance et bva Mohamed amine - le 3 juin 2023 En ayant la fiche technique du constructeur , j'ai pu constaté : -la puissancebmentionnée dans la fiche est 187cv et non pas 254. - le moteur est effectivement un 2l. L'équipe wandaloo j'aimerai bien avoir plus d'infos sur la bva , est- ce une cvt ou une automatique à convertisseur de couple ou une robotisée à double embrayage sec ou humide. 32 26 répondre AVIS SUR CHERY TIGGO 7 PRO Assane Dabre - le 1 octobre 2022 Quel est votre avis sur Tiggo 7 pro ? Bonne affaire ou non ? Merci 141 51 répondre 1 réponse(s) pièces de rechange QQ ? jam - le 9 octobre 2014 SVP ou est ce qu'on peux trouver des pieces de rechanges du chery QQ au maroc ??? merci 72 45 répondre 5 réponse(s) Chery a113 Ilyana .J - le 25 septembre 2020 Bonjour . Quelqu’un peut m’aider a trouver des concessionnaires De chery a casablanca ,oubien s’il ya un distributeur parmis vous qui px m aider j’ai besoin d’un ECU( engine controle unit) j’arrive pas a trouver la meme référence. Ma voiture que j acheter depuis un mois et en panne pour 15 jours mnt . Merci en avance 10 8 répondre 1 réponse(s)",,,https://www.wandaloo.com/forum/chery/tiggo-4-pro/#avis,2025;automatique,concessionnaire
2026-06-09,2026-W24,Morocco,Wandaloo Chery forum,public_html,Hyundai Accent,Chery Tiggo 4 Pro,"Je suis très déçu de l'acquisition , en septembre 2024, de la nouvelle CHERY TIGGO4 Pro : consommation excessive à 10,8 à 11.2 L/100 quand l","Je suis très déçu de l'acquisition , en septembre 2024, de la nouvelle CHERY TIGGO4 Pro : consommation excessive à 10,8 à 11.2 L/100 quand la brochure fournie prétend une consommation à 7, 1 . Un gouffre financier !",,,https://www.wandaloo.com,,
2026-06-09,2026-W24,Morocco,MG Club Maroc forum,public_html,MG5,MG ZS,"Prix MG Maroc 2026 : tous les modèles, tarifs et versions disponibles","par Mehdi.B 15 mai 2026, 01:05 Forum : Configurations & prix Sujet : Prix MG Maroc 2026 : tous les modèles, tarifs et versions disponibles Réponses : 0 Vues : 36 Prix MG Maroc 2026 : tous les modèles, tarifs et versions disponibles ... Prix public indicatif : à partir de 169 000 DH --- MG3 Hybrid+ Motorisation : Hybride Prix public indicatif : de 202 000 à 227 000 DH --- MG5 Motorisation : Essence Prix public indicatif : à partir de 195 000 DH --- MG ZS EV Motorisation : 100% électrique Prix public indicatif : de ... Aller au message",,,https://mgclub.ma/memberlist.php?mode=viewprofile&u=2&sid=1f43a45236da3c1b7afd276d50d897e9,2026,
2026-06-09,2026-W24,Morocco,MG Club Maroc forum,public_html,MG5,MG ZS,"Prix MG Maroc 2026 : tous les modèles, tarifs et versions disponibles","Prix MG Maroc 2026 : tous les modèles, tarifs et versions disponibles ... Prix public indicatif : à partir de 169 000 DH --- MG3 Hybrid+ Motorisation : Hybride Prix public indicatif : de 202 000 à 227 000 DH --- MG5 Motorisation : Essence Prix public indicatif : à partir de 195 000 DH --- MG ZS EV Motorisation : 100% électrique Prix public indicatif : de ...",,,https://mgclub.ma/viewtopic.php?p=40&hilit=MG5&sid=1f43a45236da3c1b7afd276d50d897e9#p40,2026,
2026-06-09,2026-W24,Morocco,MG Club Maroc forum,public_html,MG5,MG ZS,Comment fonctionne une voiture MG 100% électrique ? Explication simple,"Comment fonctionne une voiture MG 100% électrique ? Explication simple ... 100% électriques ? Selon les marchés, MG propose plusieurs modèles 100% électriques. On peut notamment citer : MG ZS EV ; MG4 Electric ; MG5 Electric selon les pays ; MG Marvel R ; MG Cyberster. Au Maroc, les modèles disponibles peuvent varier. Il est donc conseillé de vérifier ...",,,https://mgclub.ma/viewtopic.php?p=33&hilit=MG5&sid=1f43a45236da3c1b7afd276d50d897e9#p33,,
2026-06-09,2026-W24,Morocco,MG Club Maroc forum,public_html,MG5,MG5,Présentation de la MG Cyberster — le roadster électrique vitrine de MG,"Présentation de la MG Cyberster — le roadster électrique vitrine de MG La MG Cyberster est l’un des modèles les plus spectaculaires de la gamme MG. Contrairement aux MG3, MG5 , ZS ou HS, elle ne vise pas le marché familial ou rationnel. C’est un roadster 100% électrique, pensé comme une vitrine technologique et sportive pour la marque. Au Maroc, la Cyberster permet ...",,,https://mgclub.ma/viewtopic.php?p=26&hilit=MG5&sid=1f43a45236da3c1b7afd276d50d897e9#p26,,
2026-06-09,2026-W24,Morocco,MG Club Maroc forum,public_html,MG5,MG5,Présentation de la MG5 — la berline compacte accessible de MG,"Présentation de la MG5 — la berline compacte accessible de MG La MG5 est une berline compacte proposée au Maroc, pensée pour les conducteurs qui cherchent une voiture familiale simple, confortable et bien équipée, sans passer par un SUV. Elle se positionne comme une alternative intéressante pour ceux qui veulent une voiture neuve, automatique, avec un bon ...",,,https://mgclub.ma/viewtopic.php?p=21&hilit=MG5&sid=1f43a45236da3c1b7afd276d50d897e9#p21,automatique,
2026-06-09,2026-W24,Morocco,MG Club Maroc forum,public_html,MG5,MG ZS,L'arrivée de MG au Maroc — l'histoire d'un retour,"L'arrivée de MG au Maroc — l'histoire d'un retour ... thermiques, hybrides rechargeables et 100% électriques. Parmi les modèles annoncés au lancement, on retrouvait notamment la MG ZS, la MG HS, la MG5 , la MG3, mais aussi des modèles électrifiés comme la MG4 Electric, la MG ZS EV, la MG HS PHEV et la MG Marvel R. Qui distribue MG au Maroc ? Au ...",,,https://mgclub.ma/viewtopic.php?p=17&hilit=MG5&sid=1f43a45236da3c1b7afd276d50d897e9#p17,,
